"","X1","fico","dt_first_pi","flag_fthb","dt_matr","cd_msa","mi_pct","cnt_units","occpy_sts","cltv","dti","orig_upb","ltv","int_rt","channel","ppmt_pnlty","prod_type","st","prop_type","zipcode","id_loan","loan_purpose","orig_loan_term","cnt_borr","seller_name","servicer_name","flag_sc"
"6521",215138,787,201712,"9",204711,35614,0,2,"I",68,34,6e+05,68,4.375,"R","N","FRM","NY","SF","11300","F117Q4215138","P",360,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA","Y"
"6522",215429,758,201802,"9",203301,20524,0,1,"P",54,28,160000,54,3.125,"C","N","FRM","NY","SF","12500","F117Q4215429","C",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6523",215448,769,201802,"Y",203301,35614,0,1,"P",80,43,152000,80,3.375,"R","N","FRM","NY","CO","11400","F117Q4215448","P",180,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6524",215450,785,201801,"9",203212,35614,0,1,"P",81,40,173000,55,3.5,"R","N","FRM","NY","SF","10500","F117Q4215450","N",180,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6525",215465,791,201801,"9",203212,35614,0,1,"P",70,44,175000,70,3.375,"R","N","FRM","NY","SF","10900","F117Q4215465","C",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6526",215487,775,201801,"9",203212,35614,0,1,"P",78,39,156000,78,3.5,"R","N","FRM","NY","SF","10900","F117Q4215487","N",180,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6527",215495,812,201801,"9",203212,35004,0,1,"P",23,29,162000,23,3.5,"R","N","FRM","NY","SF","11700","F117Q4215495","N",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6528",215791,810,201801,"Y",204712,35614,0,1,"P",67,39,150000,67,4,"R","N","FRM","NY","CP","11300","F117Q4215791","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6529",216031,777,201712,"Y",204711,35614,0,1,"P",79,25,181000,79,4,"R","N","FRM","NY","CP","11400","F117Q4216031","P",360,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6530",216032,722,201802,"N",204801,35614,0,1,"P",75,41,380000,75,3.625,"R","N","FRM","NY","SF","10300","F117Q4216032","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6531",216033,805,201801,"Y",204712,35614,0,1,"P",38,16,340000,38,3.625,"R","N","FRM","NY","SF","11300","F117Q4216033","P",360,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6532",216069,800,201801,"N",204712,35614,0,1,"P",80,26,176000,80,4,"R","N","FRM","NY","CP","11300","F117Q4216069","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6533",216126,791,201712,"N",204711,35614,0,1,"P",69,47,185000,69,4,"R","N","FRM","NY","CP","11300","F117Q4216126","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6534",216295,732,201801,"Y",204712,10580,30,1,"P",95,25,75000,95,4,"C","N","FRM","NY","SF","12200","F117Q4216295","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6535",216311,791,201801,"N",204712,45060,0,1,"P",64,41,70000,64,4,"C","N","FRM","NY","PU","13000","F117Q4216311","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6536",216312,675,201801,"N",204712,45060,0,1,"P",62,27,80000,62,3.875,"C","N","FRM","NY","SF","13200","F117Q4216312","P",360,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6537",216322,699,201802,"Y",203301,35614,0,1,"P",80,29,252000,80,3.375,"R","N","FRM","NY","CP","11400","F117Q4216322","P",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6538",216323,786,201801,"N",203212,35004,0,1,"P",60,21,342000,60,3,"R","N","FRM","NY","SF","11000","F117Q4216323","P",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6539",216324,732,201712,"N",203211,35004,0,1,"P",80,48,368000,80,3.375,"C","N","FRM","NY","SF","11700","F117Q4216324","P",180,1,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6540",216325,804,201801,"Y",203212,35614,0,1,"P",50,20,273000,50,3.25,"C","N","FRM","NY","CP","11200","F117Q4216325","P",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6541",216326,804,201801,"9",203212,35614,0,1,"P",53,25,230000,53,3.25,"C","N","FRM","NY","SF","10500","F117Q4216326","N",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
"6542",216327,693,201801,"N",203212,15380,0,1,"P",80,39,181000,80,3.25,"C","N","FRM","NY","SF","14200","F117Q4216327","P",180,2,"JPMORGANCHASEBANK,NA","JPMORGANCHASEBANK,NA",NA
